"area","area_code","category","flow_score","traffic_score","consumer_score","dead_time","dead_gap","dead_gap_count","dead_gap_score","active_time_count","inactive_time","incomplete_time","analysis_available","analysis_status","twin_name","similarity","twin_conversion","similarity_definition"
"이북5도청사",3110001,"한식음식점",40.711902113459395,10.462555066079295,40.711902113459395,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","오산고등학교",85.97747497219133,58.28698553948832,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"이북5도청사",3110001,"호프-간이주점",4.408817635270541,3.6893203883495143,4.408817635270541,"17~21",91.56626506024097,123.96245311796696,91.56626506024097,5,"","",TRUE,"분석 가능","한국폴리텍대학서울정수캠퍼스",83.91783567134267,14.02805611222445,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"독립문역 1번",3110002,"한식음식점",92.21357063403782,47.246696035242294,92.21357063403782,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","창동중학교",86.02614015572858,97.55283648498332,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"독립문역 1번",3110002,"커피-음료",57.48502994011976,40.32023289665211,57.48502994011976,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","천왕역 3번(오류2동주민센터, 서울오류남초등학교)",89.0063622754491,71.55688622754491,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"세검정초등학교",3110003,"한식음식점",11.457174638487208,21.365638766519822,11.457174638487208,"06~11",96.57142857142857,93.20776171668183,96.57142857142857,5,"","",TRUE,"분석 가능","세검정",89.57174638487209,27.252502780867633,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"세검정초등학교",3110003,"분식전문점",16.5374677002584,9.290953545232274,16.5374677002584,"06~11",94.18282548476455,48.124703231016504,94.18282548476455,4,"00~06,21~24","",TRUE,"분석 가능","연신내우체국",84.64147286821706,34.10852713178294,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"세검정초등학교",3110003,"호프-간이주점",40.28056112224449,8.932038834951456,40.28056112224449,"뚜렷한 DEAD TIME 없음",0,0,0,4,"06~11","",TRUE,"분석 가능","연신내역 2번",82.31462925851703,73.34669338677354,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"세검정초등학교",3110003,"커피-음료",51.94610778443114,15.72052401746725,51.94610778443114,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","평창동서측",87.3315868263473,67.36526946107784,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"세검정초등학교",3110003,"편의점",30.334190231362467,7.249999999999999,30.334190231362467,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","장지동주민센터(한림연예예술고교)",83.45115681233932,44.987146529562985,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"대신고등학교",3110004,"한식음식점",97.33036707452726,43.17180616740088,97.33036707452726,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","창동중학교",88.05617352614016,97.55283648498332,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"대신고등학교",3110004,"커피-음료",NA,35.80786026200873,NA,"뚜렷한 DEAD TIME 없음",0,0,0,0,"","00~06,06~11,11~14,14~17,17~21,21~24",FALSE,"활동 또는 관측 근거 부족",NA,NA,NA,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"세검정",3110005,"한식음식점",27.252502780867633,1.6519823788546255,27.252502780867633,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","연신초등학교",84.78170189098999,52.83648498331479,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"세검정",3110005,"분식전문점",NA,0.9779951100244498,NA,"뚜렷한 DEAD TIME 없음",0,0,0,0,"","00~06,06~11,11~14,14~17,17~21,21~24",FALSE,"활동 또는 관측 근거 부족",NA,NA,NA,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"부암동주민센터",3110006,"커피-음료",73.65269461077844,0,73.65269461077844,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","신풍역 3번",80.80089820359282,83.68263473053892,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"사직공원(한국사회과학도서관)",3110007,"한식음식점",4.4493882091212456,68.6123348017621,4.4493882091212456,"17~21",98.33147942157953,769.9280058475014,98.33147942157953,4,"00~06,06~11","",TRUE,"분석 가능","영천시장입구",88.75139043381535,40.48943270300334,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"배화여자대학교(박노수미술관)",3110008,"한식음식점",61.179087875417125,72.24669603524228,61.179087875417125,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","남영역 1번",85.45606229143492,63.95995550611791,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"배화여자대학교(박노수미술관)",3110008,"분식전문점",65.89147286821705,56.723716381418086,65.89147286821705,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","곰달래도서관",84.68992248062015,93.7984496124031,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"배화여자대학교(박노수미술관)",3110008,"호프-간이주점",86.97394789579158,60.19417475728155,86.97394789579158,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능",NA,NA,NA,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"배화여자대학교(박노수미술관)",3110008,"커피-음료",56.43712574850299,67.24890829694323,56.43712574850299,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","서강대역 1번",85.56324850299401,65.71856287425149,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"자하문터널",3110009,"한식음식점",32.146829810901004,8.81057268722467,32.146829810901004,"21~24",91.56355455568054,367.4512130302832,91.56355455568054,5,"00~06","",TRUE,"분석 가능","북한산우이역 2번",86.21384872080088,78.1979977753059,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"자하문터널",3110009,"커피-음료",22.305389221556887,6.259097525473072,22.305389221556887,"06~11",97.54601226993866,259.9574302896417,97.54601226993866,5,"","",TRUE,"분석 가능","둔촌동역 3번(성내3동주민센터)",81.88622754491018,37.27544910179641,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"평창동서측",3110010,"한식음식점",3.5595105672969964,17.951541850220266,3.5595105672969964,"21~24",98.20022497187851,574.1294281787709,98.20022497187851,5,"00~06","",TRUE,"분석 가능","이북5도청사",85.48387096774194,40.711902113459395,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"평창동서측",3110010,"분식전문점",35.65891472868217,6.845965770171149,35.65891472868217,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","방화역 1번",82.86498708010336,98.70801033591732,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"평창동서측",3110010,"커피-음료",67.36526946107784,12.809315866084425,67.36526946107784,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","방화역 1번",80.99738023952095,96.8562874251497,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"성곡미술관",3110012,"한식음식점",57.063403781979986,41.409691629955944,57.063403781979986,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","성미산체육관",88.9182424916574,83.09232480533927,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"성곡미술관",3110012,"커피-음료",49.8502994011976,34.06113537117904,49.8502994011976,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","바우뫼공원",91.44835329341318,72.45508982035929,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"성곡미술관",3110012,"편의점",25.19280205655527,19.25,25.19280205655527,"21~24",91.77377892030847,8451.300556218233,91.77377892030847,5,"","",TRUE,"분석 가능","숙대입구역 1번",88.68894601542416,32.64781491002571,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"체부동홍종문가옥",3110013,"커피-음료",48.05389221556886,5.385735080058224,48.05389221556886,"뚜렷한 DEAD TIME 없음",0,0,0,4,"00~06,06~11","",TRUE,"분석 가능","광흥창역 6번",90.17589820359281,56.73652694610778,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"경복고등학교",3110014,"한식음식점",83.98220244716352,2.092511013215859,83.98220244716352,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","중구회현체육센터(정화예술대남산캠퍼스)",93.11735261401557,90.65628476084538,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"경복고등학교",3110014,"커피-음료",19.610778443113773,1.7467248908296942,19.610778443113773,"17~21",97.44744744744744,1260.7759695423697,97.44744744744744,4,"00~06,21~24","",TRUE,"분석 가능","중구회현체육센터(정화예술대남산캠퍼스)",92.58046407185628,73.95209580838323,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"청와대사랑채",3110015,"커피-음료",97.30538922155688,1.6011644832605532,97.30538922155688,"뚜렷한 DEAD TIME 없음",0,0,0,4,"00~06,21~24","",TRUE,"분석 가능","KT금천빌딩(금천구시설관리공단)",84.85217065868264,98.35329341317365,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"평창동동측",3110016,"한식음식점",4.671857619577309,0.5506607929515419,4.671857619577309,"21~24",98.98762654668167,146.66106974180803,98.98762654668167,5,"00~06","",TRUE,"분석 가능","남산골공원옆",85.48387096774194,31.70189098998888,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"평창동동측",3110016,"커피-음료",28.143712574850298,0.43668122270742354,28.143712574850298,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","대방역 3번",82.82185628742515,70.05988023952095,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"정독도서관",3110017,"커피-음료",50,24.017467248908297,50,"뚜렷한 DEAD TIME 없음",0,0,0,4,"00~06,21~24","",TRUE,"분석 가능","중구회현체육센터(정화예술대남산캠퍼스)",88.10815868263472,73.95209580838323,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"중앙고등학교",3110018,"한식음식점",41.601779755283644,32.268722466960355,41.601779755283644,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","성곡미술관",87.66685205784205,57.063403781979986,"100 - 16개 상권특성의 평균 절대 백분위 차이"
